date,SREN,UBS,NOVN
2022-05-13,75.996597,16.729393,75.496513
2022-05-16,75.959312,16.535204,76.519333
2022-05-17,77.22686,16.913872,76.414429
2022-05-18,76.350761,16.787651,76.055992
2022-05-19,73.666557,16.554621,74.910789
2022-05-20,73.591995,16.724539,75.793739
2022-05-23,74.169846,17.258558,76.650459
2022-05-24,73.34967,17.263412,76.650459
2022-05-25,73.573357,17.229431,76.77285
2022-05-27,74.89682,17.462458,76.160904
2022-05-30,75.344177,17.758596,76.353233
2022-05-31,73.55471,17.520714,75.933609
2022-06-01,72.809105,17.574116,75.339149
2022-06-02,73.107346,17.544987,74.832108
2022-06-03,73.293747,17.544987,75.03318
2022-06-07,74.654488,17.661501,75.120598
2022-06-08,73.442871,17.200302,74.989471
2022-06-09,73.517433,16.724539,74.596077
2022-06-10,71.802521,16.137117,73.363441
2022-06-13,70.684097,15.583676,72.366844
2022-06-14,70.833229,15.52542,70.565979
2022-06-15,72.119408,15.763303,70.863213
2022-06-16,68.726868,14.821485,69.245926
2022-06-17,68.820068,14.729245,69.044861
2022-06-20,69.901207,14.904016,69.621834
2022-06-21,69.192879,14.976836,68.92247
2022-06-22,68.987831,15.025384,68.695183
2022-06-23,67.999893,14.646714,68.389198
2022-06-24,70.013054,15.530274,70.461082
2022-06-27,69.509766,15.671062,71.71994
2022-06-28,70.180817,15.510857,70.933151
2022-06-29,69.435204,15.214718,70.976852
2022-06-30,68.950554,14.942853,70.679626
2022-07-01,68.913277,14.845758,70.225037
2022-07-04,69.733444,15.214718,71.37899
2022-07-05,66.732353,14.515636,70.732079
2022-07-06,66.56459,14.554474,71.003082
2022-07-07,68.633667,14.855468,71.781128
2022-07-08,68.969193,15.190444,72.349365
2022-07-11,67.776215,15.039948,72.559181
2022-07-12,68.875992,15.365214,72.489235
2022-07-13,67.869415,14.889451,71.212898
2022-07-14,66.490028,14.564184,70.828247
2022-07-15,67.030602,14.840903,72.226974
2022-07-18,67.515251,15.26812,71.781128
2022-07-19,67.999893,15.34094,72.830177
2022-07-20,67.310204,15.384633,71.929749
2022-07-21,66.676437,15.617659,72.532951
2022-07-22,66.676437,15.462309,72.515465
2022-07-25,67.589806,15.685627,72.55043
2022-07-26,67.477966,14.204934,73.328476
2022-07-27,67.720299,14.200079,72.480499
2022-07-28,66.788277,14.525346,72.707787
2022-07-29,66.452751,15.035092,71.431442
2022-08-02,66.47139,14.865177,71.457672
2022-08-03,67.589806,15.015674,71.588799
2022-08-04,67.925331,15.379779,71.125473
2022-08-05,68.204941,15.103059,71.728676
2022-08-08,68.708229,15.34094,71.929749
2022-08-09,69.136955,15.098205,72.786469
2022-08-10,69.808006,15.311812,72.130814
2022-08-11,70.274017,15.433181,70.845734
2022-08-12,70.833229,15.617659,70.023972
2022-08-15,70.982353,15.564259,70.329948
2022-08-16,70.702744,15.607951,70.793274
2022-08-17,69.677528,15.442889,71.011826
2022-08-18,69.95713,15.607951,70.898178
2022-08-19,69.658882,15.103059,71.69371
2022-08-22,69.043755,14.850613,71.562584
2022-08-23,68.745514,14.836048,70.111389
2022-08-24,68.745514,14.787501,70.644661
2022-08-25,69.509766,15.015674,70.111389
2022-08-26,68.950554,14.821485,70.26001
2022-08-29,68.745514,15.010819,69.910332
2022-08-30,69.155594,15.039948,69.202209
2022-08-31,71.000992,15.078785,69.175995
2022-09-01,71.000992,14.535056,68.677696
2022-09-02,73.629272,15.141897,69.455742
2022-09-05,73.386948,14.98169,69.77919
2022-09-06,73.815674,14.942853,69.21096
2022-09-07,73.871597,14.81663,69.097321
2022-09-08,75.549225,15.098205,68.870018
2022-09-09,75.847473,15.370069,69.37706
2022-09-12,77.80471,15.646788,70.058937
2022-09-13,77.506462,15.753592,69.429512
2022-09-14,76.611725,15.632224,68.266815
2022-09-15,77.040459,15.739027,67.987068
2022-09-16,76.742203,15.316667,67.77726
2022-09-19,75.903397,15.326376,67.908386
2022-09-20,74.710419,15.146751,67.1828
2022-09-21,73.815674,15.132187,66.256142
2022-09-22,72.976868,14.802066,65.60923
2022-09-23,70.945068,14.146677,65.00602
2022-09-26,69.062393,14.214643,64.673828
2022-09-27,67.62709,14.161242,65.032249
2022-09-28,66.378189,14.200079,65.408165
2022-09-29,67.366127,13.942779,65.495583
2022-09-30,68.186302,14.054438,66.028847
2022-10-03,68.204941,14.253482,66.422241
2022-10-04,70.367218,14.879741,67.287704
